mw:rakza,173058:in compound for rakzas
mw:rakzaH,173060:in compound for rakzas
mw:rakzi,173123:in compound for rakzin
mw:rakzo,173141:in compound for rakzas
mw:raja,173866:in compound for rajas
mw:rajaH,173873:in compound for rajas
mw:rajo,174002:in compound for rajas
mw:raSana,175440:in compound for raSanA
mw:rahaH,175933:in compound for rakas
mw:rahI,175998:in compound for raha,rahas
mw:raho,176002:in compound for rahas
mw:rAkzasI,176079:in compound for rAkzasa
mw:rAgi,176179:in compound for rAgin
mw:rAja,176249:in compound for rAjan
mw:rAtry,177131:in compound for rAtrI
mw:rADo,177249:in compound for rADas
mw:rAmanAma,177428:in compound for rAmanAman
mw:rASI,177777:in compound for rASi
mw:rASy,177785:in compound for rASi
mw:riktI,178000:in compound for rikta
mw:ruk,178245:in compound for ruj,ruc
mw:rukmi,178291:in compound for rukmin
mw:ruk,178447:in compound for ruj
mw:rug,178451:in compound for ruj
mw:ruN,178466:in compound for ruj
mw:roDaH,178799:in compound for roDas
mw:roDo,178817:in compound for roDas
mw:ruSad,178908:in compound for ruSat
mw:ruzad,178920:in compound for ruzat
mw:retaH,179425:in compound for retas
mw:reto,179450:in compound for retas
mw:rezma,179525:in compound for rezman
mw:rAyo,179545:in compound for rAyas
mw:rogi,179719:in compound for rogin
mw:rodaH,179817:in compound for rodas
mw:rodo,179824:in compound for rodas
mw:roma,179896:in compound for roman
mw:rOdrI,180216:in compound for rudra
mw:lakzI,180466:in compound for lakza
mw:lakzmi,180518:in compound for lakzmI
mw:lakzmy,180660:in compound for lakzmI
mw:lakzyI,180699:in compound for lakzya
mw:laGU,181043:in compound for laGu
mw:laGv,181050:in compound for laGu
mw:lolad,183107:in compound for lolat
mw:loRa,183615:in compound for lavaRa
mw:loma,183643:in compound for loman
mw:vakrI,184472:in compound for vakra
mw:vakzaH,184522:in compound for vakzas
mw:vakzaS,184536:in compound for vakzas
mw:vaktu,184629:in compound for vaktum
mw:vacaH,184698:in compound for vacas
mw:vaco,184782:in compound for vacas
mw:vajri,185112:in compound for vajrin
mw:vajrI,185121:in compound for vajra
mw:vaRik,185309:in compound for vaRij
mw:vaRig,185324:in compound for vaRij
mw:vaRiN,185333:in compound for vaRik
mw:vanar,186069:in compound for vanas
mw:vapur,186337:in compound for vapus
mw:vapuz,186341:in compound for vapus
mw:vayaH,186482:in compound for vayas
mw:vayo,186532:in compound for vayas
mw:varivo,186656:in compound for varivas
mw:varco,187278:in compound for varcas
mw:varRi,187495:in compound for varRin
mw:varti,187600:in compound for vartin
mw:vartma,187652:in compound for vartman
mw:varma,187804:in compound for varman
mw:varzma,188060:in compound for varzman
mw:valayI,188118:in compound for valaya
mw:vaSi,188459:in compound for vaSin
mw:vaSI,188484:in compound for vaSa
mw:vasv,188987:in compound for vasu
mw:vastv,189178:in compound for vastu
mw:vasty,189227:in compound for vasti
mw:vAtI,189713:in compound for vAta
mw:vAk,189813:in compound for vAc
mw:vAg,189974:in compound for vAc
mw:vAN,190119:in compound for vAc
mw:vAcaM,190146:in compound for vAcam
mw:vAco,190230:in compound for vAcas
mw:vAjasaneyi,190377:in compound for vAjasaneyin
mw:vAji,190386:in compound for vAjin
mw:vAjI,190446:in compound for vAja
mw:vAdi,190732:in compound for vAdin
mw:vAntI,190921:in compound for vAnta
mw:vAmanI,191169:in compound for vAmana
mw:vAyasI,191222:in compound for vAyasa
mw:vAyv,191387:in compound for vAyu
mw:vAH,191428:in compound for vAr
mw:vAry,191578:in compound for vAri
mw:vAli,192139:in compound for vAlin
mw:vAsaH,192306:in compound for vAsas
mw:vAso,192326:in compound for vAsas
mw:vAhanI,192749:in compound for vAhana
mw:vAhi,192761:in compound for vAhin
mw:viMSaty,193777:in compound for viMSati
mw:viklavI,194312:in compound for viklava
mw:vitatI,195493:in compound for vitata
mw:vitAnI,195518:in compound for vitAna
mw:vidvac,195897:in compound for vidvat
mw:vidvaj,195900:in compound for vidvat
mw:vidvat,195904:in compound for vidvas
mw:vidvad,195913:in compound for vidvat
mw:vidvan,195922:in compound for vidvat
mw:vidad,195993:in compound for vidat
mw:vidyuc,196284:in compound for vidyut
mw:vidyuj,196287:in compound for vidyut
mw:vidyud,196333:in compound for vidyut
mw:vidyun,196347:in compound for vidyut
mw:vidyul,196362:in compound for vidyut
mw:viDava,196456:in compound for viDavA
mw:viDeyI,196659:in compound for viDeya
mw:viDy,196662:in compound for viDi
mw:vipaS,197422:in compound for vipas
mw:vipat,197591:in compound for vipad
mw:viPalI,198096:in compound for viPala
mw:viBU,198473:in compound for viBu
mw:viBva,198515:in compound for viBvan
mw:vimuKI,198791:in compound for vimuKa
mw:viyac,198978:in compound for viyat
mw:viyad,198981:in compound for viyat
mw:viyan,198987:in compound for viyat
mw:virajI,199085:in compound for viraja,virajas
mw:virAw,199238:in compound for virAj
mw:virAq,199257:in compound for virAj
mw:viroDi,199444:in compound for viroDin
mw:vilasan,199644:in compound for vilasat
mw:viw,200377:in compound for viS
mw:viSvakarma,201486:in compound for viSvakarman
mw:viSvataS,201503:in compound for viSvatas
mw:viSvato,201509:in compound for viSvatas
mw:viSvA,201526:in compound for viSva
mw:viw,201615:in compound for viz
mw:viq,201625:in compound for viz
mw:viR,201644:in compound for viz
mw:vizamI,202015:in compound for vizama
mw:vizayI,202109:in compound for vizaya
mw:vizuvad,202189:in compound for vizuvat
mw:vizuvan,202196:in compound for vizuvat
mw:vizvak,202212:in compound for vizvaYc
mw:vizvag,202229:in compound for vizvaYc
mw:vizRv,202651:in compound for vizRu
mw:vispazwI,202925:in compound for vispazwa
mw:vITI,203535:in compound for vITi
mw:vITy,203539:in compound for vITi
mw:vftty,204558:in compound for vftti
mw:vfdDy,204759:in compound for vfdDi
mw:vfza,204993:in compound for vfzan
mw:vfzaR,205042:in compound for vfzan
mw:vfzad,205055:in compound for vfzat
mw:vfzA,205148:in compound for vfza
mw:vegi,205358:in compound for vegin
mw:vedi,206058:in compound for vedin
mw:vedy,206139:in compound for vedi
mw:veSma,206399:in compound for veSman
mw:vEri,207550:in compound for vErin
mw:vy,208195:in compound for vi
mw:vyajanI,208372:in compound for vyajana
mw:vyaktI,208426:in compound for vyakta
mw:vyatireki,208567:in compound for vyatirekin
mw:vyaBicAri,208855:in compound for vyaBicArin
mw:vyayi,208900:in compound for vyayin
